bts_id,latitude,longitude
269,36.72629929,-110.2501526
20269,36.72629929,-110.2501526
21,36.72900009,-105.4250031
174,36.73860168,-108.2633362
115,36.746,-106.4555
169,36.75580597,-108.3587494
176,36.760547,-108.157403
114,36.76088715,-108.4690018
10114,36.76088715,-108.4690018
139,36.77680833,-108.7023444
30139,36.77680833,-108.7023444
179,36.77701111,-108.6120083
30179,36.77701111,-108.6120083
188,36.78713989,-107.5689774
180,36.79105555,-108.6750167
30180,36.79105555,-108.6750167
1241,36.810103,-109.431083
11241,36.810103,-109.431083
181,36.81658333,-108.6874139
30181,36.81658333,-108.6874139
202,36.8231926,-109.8767776
10202,36.8231926,-109.8767776
1804,36.84614117,-109.019682
265,36.84635925,-111.4486389
10265,36.84635925,-111.4486389
22,36.8604,-106.0075
210,36.88254929,-111.5875092
10210,36.88254929,-111.5875092
167,36.88543611,-106.5837972
124,36.89339828,-104.4383316
7,36.89944458,-106.6021423
636,36.90239334,-116.7672806
209,36.9081955,-111.4540939
1220,36.92272222,-111.4614556
11220,36.92272222,-111.4614556
136,36.92279166,-105.4211417
637,36.93556595,-116.8507309
293,36.956855,-111.426155
10293,36.956855,-111.426155
1236,36.96290555,-109.3871083
11236,36.96290555,-109.3871083
117,36.96536255,-105.5384979
282,36.98160934,-110.1122208
9,36.9838,-106.9709
216,36.995444,-111.485861
918,37.00611115,-110.2160492
900,37.0098381,-111.6820755
10900,37.0098381,-111.6820755
917,37.01010132,-110.2064056
902,37.021164,-111.605289
911,37.02197266,-110.765892
10911,37.02197266,-110.765892
910,37.026376,-109.580986
10910,37.026376,-109.580986
901,37.03422165,-110.8698502
924,37.03572777,-110.3149306
472,37.11797222,-104.5315833
913,37.15449905,-109.8137817
469,37.16715555,-104.5072833
445,37.22418333,-107.189813
903,37.246461,-109.216825
10903,37.246461,-109.216825
904,37.26864624,-109.5569611
10904,37.26864624,-109.5569611
647,37.29991531,-117.2610245
470,37.33944321,-108.230835
480,37.36360931,-107.7830582
437,37.3920517,-105.097702
435,37.46905518,-105.88311
916,37.47414398,-112.4885101
446,37.47777939,-108.4965591
436,37.49491501,-105.005806
473,37.50527954,-108.6825027
906,37.51861191,-110.7286148
419,37.58489609,-108.1640625
915,37.62443542,-112.0871277
449,37.6306,-107.8146
458,37.65369415,-108.8068619
645,37.66569722,-118.0652639
426,37.69022369,-108.0318909
649,37.7016,-117.3834
651,37.72694397,-117.2255554
463,37.72972107,-106.5883331
451,37.77041245,-108.9256821
907,37.77280426,-111.6192474
427,37.79333496,-107.0550308
418,37.85572052,-106.9284439
400,37.85897064,-106.9459991
905,37.90959167,-111.4238815
462,37.93761666,-107.2684333
481,37.99138888,-107.9730556
653,38.01704722,-117.7730972
401,38.0247,-107.3194
497,38.0247,-107.3194
456,38.04166794,-107.6728363
648,38.04175278,-118.1885722
689,38.05215833,-117.2261528
429,38.05491388,-104.9719806
680,38.065117,-117.225572
438,38.07277679,-104.992775
428,38.11800833,-105.0014083
421,38.12942505,-108.3178864
654,38.16105652,-118.003418
457,38.18191147,-107.7767715
693,38.19223333,-116.4183361
447,38.21744537,-107.7386932
422,38.21833038,-108.5680618
444,38.2694397,-108.5472183
914,38.29893494,-111.4003067
485,38.3309021,-107.7934494
912,38.33250046,-112.3738861
665,38.34455555,-118.043111
908,38.37316513,-110.6986923
450,38.387189,-107.675969
920,38.41055679,-111.6987305
